Port Name,State,Port Code,Border,Date,Measure,Value
San Ysidro,California,2504,US-Mexico Border,Dec 2021,Buses,1258
San Ysidro,California,2504,US-Mexico Border,Dec 2021,Bus Passengers,15096
San Ysidro,California,2504,US-Mexico Border,Dec 2021,Pedestrians,532261
San Ysidro,California,2504,US-Mexico Border,Dec 2021,Personal Vehicle Passengers,1979311
San Ysidro,California,2504,US-Mexico Border,Dec 2021,Personal Vehicles,1199629
San Ysidro,California,2504,US-Mexico Border,Nov 2021,Buses,1269
San Ysidro,California,2504,US-Mexico Border,Nov 2021,Bus Passengers,24111
San Ysidro,California,2504,US-Mexico Border,Nov 2021,Pedestrians,527798
San Ysidro,California,2504,US-Mexico Border,Nov 2021,Personal Vehicles,1186561
San Ysidro,California,2504,US-Mexico Border,Nov 2021,Personal Vehicle Passengers,1921411
San Ysidro,California,2504,US-Mexico Border,Oct 2021,Buses,3157
San Ysidro,California,2504,US-Mexico Border,Oct 2021,Bus Passengers,7656
San Ysidro,California,2504,US-Mexico Border,Oct 2021,Pedestrians,488448
San Ysidro,California,2504,US-Mexico Border,Oct 2021,Personal Vehicles,1221426
San Ysidro,California,2504,US-Mexico Border,Oct 2021,Personal Vehicle Passengers,1916077
San Ysidro,California,2504,US-Mexico Border,Sep 2021,Buses,2908
San Ysidro,California,2504,US-Mexico Border,Sep 2021,Bus Passengers,6395
San Ysidro,California,2504,US-Mexico Border,Sep 2021,Pedestrians,468189
San Ysidro,California,2504,US-Mexico Border,Sep 2021,Personal Vehicle Passengers,1827568
San Ysidro,California,2504,US-Mexico Border,Sep 2021,Personal Vehicles,1166394
San Ysidro,California,2504,US-Mexico Border,Aug 2021,Buses,3030
San Ysidro,California,2504,US-Mexico Border,Aug 2021,Bus Passengers,5675
San Ysidro,California,2504,US-Mexico Border,Aug 2021,Pedestrians,447206
San Ysidro,California,2504,US-Mexico Border,Aug 2021,Personal Vehicle Passengers,2006139
San Ysidro,California,2504,US-Mexico Border,Aug 2021,Personal Vehicles,1248233
San Ysidro,California,2504,US-Mexico Border,Jul 2021,Buses,3070
San Ysidro,California,2504,US-Mexico Border,Jul 2021,Bus Passengers,4054
San Ysidro,California,2504,US-Mexico Border,Jul 2021,Pedestrians,431299
San Ysidro,California,2504,US-Mexico Border,Jul 2021,Personal Vehicle Passengers,2049773
San Ysidro,California,2504,US-Mexico Border,Jul 2021,Personal Vehicles,1267035
San Ysidro,California,2504,US-Mexico Border,Jun 2021,Buses,2555
San Ysidro,California,2504,US-Mexico Border,Jun 2021,Bus Passengers,3342
San Ysidro,California,2504,US-Mexico Border,Jun 2021,Pedestrians,412677
San Ysidro,California,2504,US-Mexico Border,Jun 2021,Personal Vehicle Passengers,1917970
San Ysidro,California,2504,US-Mexico Border,Jun 2021,Personal Vehicles,1209232
San Ysidro,California,2504,US-Mexico Border,May 2021,Buses,2436
San Ysidro,California,2504,US-Mexico Border,May 2021,Bus Passengers,3113
San Ysidro,California,2504,US-Mexico Border,May 2021,Pedestrians,426374
San Ysidro,California,2504,US-Mexico Border,May 2021,Personal Vehicle Passengers,1739388
San Ysidro,California,2504,US-Mexico Border,May 2021,Personal Vehicles,1097417
San Ysidro,California,2504,US-Mexico Border,Apr 2021,Buses,2272
San Ysidro,California,2504,US-Mexico Border,Apr 2021,Bus Passengers,3503
San Ysidro,California,2504,US-Mexico Border,Apr 2021,Pedestrians,402672
San Ysidro,California,2504,US-Mexico Border,Apr 2021,Personal Vehicle Passengers,1747102
San Ysidro,California,2504,US-Mexico Border,Apr 2021,Personal Vehicles,1115032
San Ysidro,California,2504,US-Mexico Border,Mar 2021,Buses,2518
San Ysidro,California,2504,US-Mexico Border,Mar 2021,Bus Passengers,3526
San Ysidro,California,2504,US-Mexico Border,Mar 2021,Pedestrians,520401
San Ysidro,California,2504,US-Mexico Border,Mar 2021,Personal Vehicle Passengers,1817947
San Ysidro,California,2504,US-Mexico Border,Mar 2021,Personal Vehicles,1170049
San Ysidro,California,2504,US-Mexico Border,Feb 2021,Buses,2472
San Ysidro,California,2504,US-Mexico Border,Feb 2021,Bus Passengers,5591
San Ysidro,California,2504,US-Mexico Border,Feb 2021,Pedestrians,309459
San Ysidro,California,2504,US-Mexico Border,Feb 2021,Personal Vehicle Passengers,1532385
